时间,是否始发站,是否终到站
05:30,0,0
05:41,0,0
05:51,0,0
06:02,0,0
06:11,0,0
06:21,0,0
06:26,0,0
06:31,0,0
06:41,0,0
06:46,0,0
06:51,0,0
07:01,0,0
07:06,0,0
07:11,0,0
07:16,0,0
07:21,0,0
07:31,0,0
07:41,0,0
07:51,0,0
08:01,0,0
08:08,0,0
08:15,0,0
08:22,0,0
08:29,0,0
08:36,0,0
08:43,0,0
08:50,0,0
08:57,0,0
09:04,0,0
09:11,0,0
09:18,0,0
09:25,0,0
09:32,0,0
09:39,0,0
09:46,0,0
09:53,0,0
10:00,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:28,0,0
10:35,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:46,0,0
16:53,0,0
16:59,0,0
17:04,0,0
17:10,0,0
17:15,0,0
17:21,0,0
17:29,0,0
17:37,0,0
17:43,0,0
17:51,0,0
18:00,0,0
18:05,0,0
18:10,0,0
18:18,0,0
18:27,0,0
18:32,0,0
18:38,0,0
18:46,0,0
18:54,0,0
19:00,0,0
19:05,0,0
19:11,0,0
19:17,0,0
19:22,0,0
19:27,0,0
19:33,0,0
19:38,0,0
19:44,0,0
19:50,0,0
19:56,0,0
20:02,0,0
20:08,0,0
20:14,0,0
20:20,0,0
20:26,0,0
20:31,0,0
20:37,0,0
20:44,0,0
20:50,0,0
20:57,0,0
21:04,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:19,0,0
23:29,0,0
23:39,0,0
