时间,是否始发站,是否终到站
05:20,0,0
05:32,0,0
05:41,0,0
05:50,0,0
05:58,0,0
06:07,0,0
06:17,0,0
06:26,0,0
06:36,0,0
06:46,0,0
06:52,0,0
06:59,0,0
07:05,0,0
07:12,0,0
07:18,0,0
07:24,0,0
07:31,0,0
07:37,0,0
07:44,0,0
07:50,0,0
07:57,0,0
08:03,0,0
08:09,0,0
08:16,0,0
08:22,0,0
08:29,0,0
08:35,0,0
08:42,0,0
08:48,0,0
08:54,0,0
09:01,0,0
09:07,0,0
09:14,0,0
09:20,0,0
09:27,0,0
09:33,0,0
09:40,0,0
09:46,0,0
09:52,0,0
09:59,0,0
10:05,0,0
10:12,0,0
10:18,0,0
10:25,0,0
10:31,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:57,0,0
11:03,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:29,0,0
11:35,0,0
11:42,0,0
11:48,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:14,0,0
12:20,0,0
12:27,0,0
12:33,0,0
12:40,0,0
12:46,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:12,0,0
13:18,0,0
13:25,0,0
13:31,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:57,0,0
14:03,0,0
14:10,0,0
14:16,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:42,0,0
14:48,0,0
14:55,0,0
15:01,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:27,0,0
15:33,0,0
15:40,0,0
15:46,0,0
15:53,0,0
15:59,0,0
16:06,0,0
16:12,0,0
16:18,0,0
16:25,0,0
16:31,0,0
16:38,0,0
16:44,0,0
16:51,0,0
16:57,0,0
17:03,0,0
17:10,0,0
17:16,0,0
17:23,0,0
17:29,0,0
17:36,0,0
17:42,0,0
17:48,0,0
17:55,0,0
18:01,0,0
18:08,0,0
18:14,0,0
18:21,0,0
18:27,0,0
18:33,0,0
18:40,0,0
18:46,0,0
18:53,0,0
18:59,0,0
19:06,0,0
19:12,0,0
19:19,0,0
19:25,0,0
19:31,0,0
19:38,0,0
19:44,0,0
19:51,0,0
19:57,0,0
20:04,0,0
20:10,0,0
20:16,0,0
20:23,0,0
20:29,0,0
20:36,0,0
20:42,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:21,0,0
21:27,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:53,0,0
21:59,0,0
22:06,0,0
22:12,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:38,0,0
22:45,0,0
22:54,0,0
23:04,0,0
23:14,0,0
23:23,0,0
23:32,0,0
